x,y,name
43.00000000000001,28.666666666666668,László Lovász 0001
37.395833333333336,18.083333333333336,János Tapolcai
22.645833333333336,15.333333333333332,Lajos Rónyai
19.291666666666668,16.166666666666668,Gábor Rétvári
47.604166666666664,12.5,Levente Kovács
14.145833333333334,5.5,Gábor Gosztolya
8.5,11.666666666666666,András Gilyén
16.979166666666664,12.333333333333332,András A. Benczúr
10.520833333333334,10.583333333333334,Miklós Maróti
9.3125,10.083333333333334,Ildikó Schlotter
34.375,6.0,Jozsef Bokor
21.833333333333332,9.416666666666666,Péter Biró 0001
19.916666666666668,8.0,Levente Buttyán
4.583333333333333,7.0,Gergely Ács
5.437499999999999,8.166666666666668,Árpád Beszédes
23.395833333333332,6.666666666666667,Kristóf Bérczi
21.791666666666668,6.0,Balázs Keszegh
6.083333333333334,6.583333333333334,Péter Kutas
4.5,6.166666666666667,Gergely Kál Csáji
8.9375,5.25,Pál Varga
11.479166666666666,5.75,Sándor Laki
8.5625,5.416666666666666,Péter Balázs
139.04166666666666,3.9166666666666665,István Csabai
8.458333333333334,5.666666666666667,Richárd Farkas
1.6875,4.583333333333333,Tamás Gergely
7.145833333333333,5.5,Veronika Vincze
18.124999999999996,5.083333333333333,János Botzheim
30.812499999999996,4.0,Gábor Vattay
2.8958333333333335,4.25,Felician Németh
10.270833333333334,4.75,András Gulyás
25.354166666666664,4.833333333333333,György Dósa
10.833333333333334,3.5833333333333335,Péter Babarczi
11.75,5.333333333333334,Balázs Sonkoly
13.916666666666666,4.5,György Eigner
5.125,4.0,Géza Szabó
9.5625,3.416666666666667,András Kocsor
5.083333333333334,3.3333333333333335,Alpár Jüttner
6.5625,3.5,Péter Hegedüs
38.27083333333333,4.083333333333333,Peter Antal
2.1458333333333335,4.833333333333334,Oszkár Semeráth
7.645833333333333,3.75,Kálmán Palágyi
16.958333333333332,3.6666666666666665,Tamás Fleiner
4.0,3.3333333333333335,István Hegedüs
20.479166666666668,4.416666666666666,Csaba Benedek
4.0625,6.416666666666667,Gábor Bergmann
2.041666666666667,5.083333333333334,Gábor Berend
26.1875,1.5,Andras Hajdu
4.5,3.333333333333333,Tamas Bence Schwarcz
2.4166666666666665,4.916666666666667,Ivan Eichhardt
7.8125,3.666666666666667,László Vidács
1.1458333333333333,2.7499999999999996,Ákos Hajdu
2.125,3.083333333333333,András Vörös 0001
4.083333333333334,3.333333333333333,Tamás Lukovszki
1.6458333333333333,3.083333333333333,Kristóf Marussy
2.4166666666666665,0.8333333333333333,Alexandra Markó
4.916666666666666,2.083333333333333,László Czúni
9.729166666666666,3.333333333333333,Gyula Pap
11.416666666666666,2.6666666666666665,János Balogh
7.916666666666666,2.666666666666667,Erika R. Bérczi-Kovács
1.7083333333333333,2.9166666666666665,Ferenc Horváth
0.25,2.4166666666666665,István Megyeri
5.958333333333334,2.1666666666666665,László Gulyás
13.458333333333332,3.0,Gergely Biczók
1.0833333333333333,1.0833333333333333,Zsófia Ádám
6.875,2.5,Sándor Szénási
3.895833333333334,3.0,Ákos Kiss 0001
6.729166666666666,1.8333333333333333,László Bokor
1.2291666666666667,2.75,Béla Vancsics
9.333333333333334,2.5,Róbert Lovas
0.9166666666666666,1.8333333333333335,Gabor Antal
1.8958333333333333,2.0,András Márkus
3.0625,1.8333333333333333,Zoltán Micskei
12.0625,2.0833333333333335,Ákos Odry
0.8333333333333333,2.5,Domokos M. Kelen
11.083333333333332,1.0833333333333333,Bálint Vanek
0.5,2.333333333333333,András Majdán
15.416666666666666,3.1666666666666665,I. Z. Reguly
11.208333333333334,2.5,József Békési
3.333333333333333,2.25,Vince Molnár
9.333333333333334,2.25,Csanád Imreh
17.520833333333336,3.5,Attila Kertész
0.3125,3.3333333333333335,István András Seres
5.791666666666667,1.9166666666666667,Zoltán Juhász
4.479166666666667,1.4166666666666665,Peter Sarcevic
5.8125,1.5,Tamás Vinkó
2.729166666666666,1.6666666666666667,Dániel Varga
7.416666666666667,1.6666666666666667,Gabor Damasdi
1.5625,1.3333333333333335,Péter Orosz
0.3333333333333333,1.75,Attila Szatmári
1.7083333333333335,3.0833333333333335,Gergely Mezei
2.75,1.8333333333333333,Balázs Pejó
1.2291666666666665,1.75,Gergö Balogh
2.083333333333333,1.8333333333333333,Péter Gyimesi
4.8125,1.3333333333333333,Johanna Sápi
5.166666666666667,1.8333333333333333,József Molnár
3.0,1.1666666666666667,Gábor Kusper
0.45833333333333326,1.3333333333333333,Zoltán Alexin
3.1458333333333335,0.8333333333333333,Tamás Holczer
3.0833333333333335,0.5,Mohammed Salah Al-Radhi
2.1666666666666665,1.5833333333333333,Tamás Lévai
3.6666666666666665,0.75,Áron Ballagi
1.375,1.4166666666666665,Gábor Valasek
1.9583333333333335,1.5833333333333333,Judit Jász
5.5,1.5,János Czentye
2.5,1.1666666666666667,Márton Benedek
8.083333333333334,1.3333333333333333,Tadeusz P. Dobrowiecki
0.08333333333333333,1.0,Attila Török
2.2083333333333335,1.3333333333333335,Markosz Maliosz
1.2916666666666667,1.4166666666666665,Imre Kocsis
10.708333333333334,1.4166666666666665,Balázs Bánhelyi
1.3958333333333333,1.1666666666666667,Adrián Csiszárik
6.25,2.166666666666667,András Micsik
17.229166666666668,1.0833333333333333,Péter Csikvári
0.6666666666666666,0.9166666666666666,Zsolt Szántó
0.9999999999999999,0.5833333333333334,Áron Fóthi
3.0625,1.0833333333333333,Edit Tóth-Laufer
0.8333333333333333,1.0,Gábor Danner
8.895833333333332,0.3333333333333333,Gábor Horváth 0002
6.645833333333334,1.5833333333333333,László Lengyel
