x,y,name
36.14583333333333,65.25,Dániel Marx
4.5,78.58333333333333,Barnabás Póczos
16.5,73.58333333333333,Éva Tardos
8.5,58.41666666666667,Dániel Baráth
7.916666666666666,51.66666666666667,László Babai
2.083333333333333,39.66666666666666,Csaba D. Tóth
7.5,36.666666666666664,Mario Szegedy
1.0,30.25,Tamás Sarlós
2.3333333333333335,35.25,Gergely Neu
8.895833333333334,28.083333333333332,Róbert Busa-Fekete
2.25,25.666666666666668,Edouard Bonnet
24.354166666666668,22.083333333333332,Adrian Dumitrescu
69.16666666666666,25.333333333333332,Gábor Lugosi
18.166666666666668,19.583333333333332,Endre Szemerédi
3.5,23.249999999999996,Balázs Szörényi
15.645833333333334,12.75,Gabor Karsai
0.16666666666666666,14.583333333333334,Radu Curticapean
27.729166666666664,13.000000000000002,András Lörincz
7.166666666666667,13.583333333333332,Tamás Linder
0.6666666666666666,12.416666666666666,O-joung Kwon
0.8958333333333333,9.75,Csaba Nagy 0001
10.083333333333334,4.833333333333334,László Tóth 0001
5.416666666666666,9.75,Janos Sztipanovits
72.375,9.75,Gábor Fodor 0001
2.083333333333333,10.0,János Komlós
67.91666666666667,8.5,A. Sandor Szalay
1.9999999999999998,4.166666666666667,Tamás Grósz
8.145833333333334,7.666666666666667,Andras Sebo
7.25,7.583333333333333,Ágnes Cseh
4.0625,12.833333333333332,Zoltán Szabó 0001
5.145833333333333,2.5833333333333335,Tamás Gábor Csapó
19.145833333333332,3.916666666666667,Zoltán Szabó 0002
6.666666666666667,5.416666666666666,Balázs Vass
4.229166666666667,7.5,Márk Félegyházi
0.9166666666666666,4.666666666666667,Zoltán Ádám Milacski
0.16666666666666666,4.916666666666667,László Egri
6.875,3.5,Tomás Horváth
0.6666666666666666,3.3333333333333335,Róbert Ormándi
0.3333333333333333,4.500000000000001,Sylvain Guillemot
49.083333333333336,3.25,Tamas Budavari
8.5,3.0833333333333335,András Horváth
5.5,3.833333333333333,Attila Bernáth
4.104166666666666,3.833333333333333,Noémi Gaskó
1.6666666666666665,3.9166666666666665,Levente Csikor
7.770833333333333,3.666666666666667,Zoltán Ádám Mann
3.0,3.25,Bálint Takács
11.020833333333334,3.0,Miklós Simonovits
1.3958333333333333,2.666666666666667,Csaba Király 0002
2.833333333333333,2.1666666666666665,Márton Csernai
90.75,2.5,József Balogh
12.895833333333332,1.6666666666666665,László Dobos 0001
10.729166666666668,2.166666666666667,Gabor Kecskemeti
2.8333333333333335,2.1666666666666665,Balázs Rácz
3.0625,2.333333333333333,Gergely Varró
14.1875,2.583333333333333,József Kovács
0.16666666666666666,1.5833333333333333,Nick Brettel
4.0,2.333333333333333,Levente Kocsis
0.3333333333333333,3.25,István Dávid
1.5,0.9166666666666667,Attila Zoltan Takacs
0.8333333333333333,1.0833333333333333,László Kopácsi
1.0,1.4166666666666665,Károly Csalogány
1.8958333333333333,0.75,Dániel Darvas
1.9166666666666665,0.8333333333333333,Tsegaye Misikir Tashu
0.6666666666666666,1.25,András Formanek
1.6666666666666667,1.3333333333333333,Zoltán Petres
1.0,1.5,Róbert Pálovics
1.0833333333333333,0.75,Gábor Szoke
7.916666666666667,1.0,Ferenc Bencs
3.0,1.0,Ambrus Tamás
0.3333333333333333,1.0,Gergely Papp
0.6666666666666666,0.3333333333333333,Máté Ákos Tündik
1.3333333333333333,0.75,Zoltán A. Tuza
0.41666666666666663,0.6666666666666666,Ákos Pernek
1.4166666666666665,0.75,Márton Makai
6.25,0.41666666666666663,Janos Mark Szalai-Gindl
6.000000000000001,0.16666666666666666,Bálint Antal
0.9166666666666666,0.5,Péter Schaffer
0.3333333333333333,0.25,András Kövi
1.0416666666666667,0.6666666666666666,Attila Klenik
15.666666666666666,0.08333333333333333,Dávid Csercsik
0.5833333333333334,0.5833333333333334,László Blázovics
31.0625,0.3333333333333333,Tamás Szörényi
1.1666666666666667,0.3333333333333333,Gergo Somorjai
8.083333333333334,0.3333333333333333,Gergely Zábrádi
1.4583333333333335,0.16666666666666666,Piroska Biró
8.666666666666668,0.3333333333333333,Tibor Guzsvinecz
14.416666666666666,0.3333333333333333,Attila Magyar
0.8958333333333333,0.3333333333333333,Attila Adamkó
2.6875,0.25,László Czap
10.125,0.3333333333333333,Gergely Ambrus
3.895833333333333,0.08333333333333333,Péter Csuti
1.1666666666666665,0.25,Gergely Kovács
0.3333333333333333,0.25,György Strausz
4.25,0.08333333333333333,Ferenc Szabó
7.333333333333334,0.16666666666666666,Andrea Manno-Kovács
4.979166666666666,0.3333333333333333,Kalman Tornai
0.5208333333333333,0.16666666666666666,Dávid Vincze
0.7083333333333334,0.16666666666666666,Sandor Repas
5.291666666666667,0.25,Csaba Rotter
1.0416666666666665,0.16666666666666666,György Schuster
5.0,0.16666666666666666,Tuan-anh Tran
3.5833333333333335,0.25,Tamás Zsedrovits
5.166666666666667,0.16666666666666666,Gábor Bacsó
0.9999999999999999,0.16666666666666666,Gyorgy Istenes
0.5833333333333333,0.08333333333333333,Anikó Vágner
22.083333333333332,0.25,Botond Bertók
0.20833333333333331,0.08333333333333333,Tibor Ásványi
0.41666666666666663,0.25,Peter Laborczi
0.9166666666666667,0.08333333333333333,Istvan Pintér
2.7500000000000004,0.08333333333333333,Antal Hiba
0.3125,0.08333333333333333,Resko Barna
2.125,0.08333333333333333,Máté Cserép
3.6666666666666665,0.25,Nam H. Do
0.9375,0.08333333333333333,Ágnes Bogárdi-Mészöly
8.333333333333332,0.08333333333333333,Ágnes Backhausz
