ID,Name,Acronym,YearsListed,dblp_venue,mta_class
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/popl,3
279,Automated Software Engineering Conference,ASE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A*, CORE2023_A*",conf/kbse,6
331,Computer Aided Verification,CAV,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/cav,3
52,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE;ESEC / SIGSOFT FSE;SIGSOFT FSE;ESEC/SIGSOFT FSE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_B, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigsoft,6
1209,International Conference on Software Engineering,ICSE,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/icse,6
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI;Best of PLDI,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/pldi,6
39,Measurement and Modeling of Computer Systems,SIGMETRICS;SIGMETRICS/Performance,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/sigmetrics,6
748,IEEE Symposium on Logic in Computer Science,LICS,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/lics,3
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,"CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/soda,3
1629,National Conference of the American Association for Artificial Intelligence,"AAAI;AAAI/IAAI;AAAI/IAAI, Vol.","CORE2008_A*, ERA2010_A, CORE2013_A*, CORE2014_A*, CORE2017_A*, CORE2018_A*, CORE2020_A*, CORE2021_A*, CORE2023_A*",conf/aaai,6
